Production_End_Time,Batch_PartNo,Part_No,Part_SLNo,Planned_Prod_Duration_sec,Actual_Prod_Duration_sec,Prod_Delay_sec,Availability,Performance,Quality,Current_OEE,DownTime_sec,Current_Speed_pct,OEE_Delta,Avg_OEE
2026-01-01 06:01:45,WM-23-A-1,WM-23-A-1-1,1,30,105,75,100,29,100,29,0,20,0,32.89
2026-01-01 06:04:01,WM-23-A-1,WM-23-A-1-2,2,60,136,76,100,44,100,44,0,60,15,32.89
2026-01-01 06:08:57,WM-23-A-1,WM-23-A-1-3,3,90,264,174,64,34,100,22,32,60,-22,32.89
2026-01-01 06:14:29,WM-23-A-1,WM-23-A-1-4,4,120,300,180,73,40,100,29,32,60,7,32.89
2026-01-01 06:20:35,WM-23-A-1,WM-23-A-1-5,5,150,334,184,79,45,100,36,32,100,7,32.89
2026-01-01 06:28:42,WM-23-A-1,WM-23-A-1-6,6,180,431,251,69,42,100,29,56,60,-7,32.89
2026-01-01 06:37:35,WM-23-A-1,WM-23-A-1-7,7,210,477,267,73,44,100,32,56,60,3,32.89
2026-01-01 06:47:04,WM-23-A-1,WM-23-A-1-8,8,240,513,273,77,47,100,36,56,60,4,32.89
2026-01-01 06:57:08,WM-23-A-1,WM-23-A-1-9,9,270,548,278,79,49,100,39,56,60,3,32.89
2026-01-01 06:59:04,Ra_21_A_2,Ra_21_A_2_1,1,60,115,55,98,52,0,0,1,60,-39,52.2
2026-01-01 07:01:34,Ra_21_A_2,Ra_21_A_2_2,2,120,149,29,99,81,50,40,1,60,40,52.2
2026-01-01 07:04:37,Ra_21_A_2,Ra_21_A_2_3,3,180,182,62,99,99,67,66,1,100,26,52.2
2026-01-01 07:08:15,Ra_21_A_2,Ra_21_A_2_4,4,240,217,23,100,100,75,75,1,100,9,52.2
2026-01-01 07:12:28,Ra_21_A_2,Ra_21_A_2_5,5,300,252,48,100,100,80,80,1,100,5,52.2
2026-01-01 07:14:03,Ra_21_A_3,Ra_21_A_3_1,1,60,95,35,100,63,100,63,0,20,-17,62.57
2026-01-01 07:16:19,Ra_21_A_3,Ra_21_A_3_2,2,120,136,16,100,88,100,88,0,20,25,62.57
2026-01-01 07:20:43,Ra_21_A_3,Ra_21_A_3_3,3,180,221,41,76,81,100,62,43,20,-26,62.57
2026-01-01 07:25:57,Ra_21_A_3,Ra_21_A_3_4,4,240,271,31,82,89,75,55,43,20,-7,62.57
2026-01-01 07:31:47,Ra_21_A_3,Ra_21_A_3_5,5,300,307,7,86,98,80,67,43,20,12,62.57
2026-01-01 07:40:16,Ra_21_A_3,Ra_21_A_3_6,6,360,404,44,71,89,83,52,105,20,-15,62.57
2026-01-01 07:49:23,Ra_21_A_3,Ra_21_A_3_7,7,420,442,22,75,95,71,51,105,20,-1,62.57
2026-01-01 07:50:57,Ra_21_A_4,Ra_21_A_4_1,1,60,94,34,100,64,100,64,0,20,13,52.38
2026-01-01 07:53:12,Ra_21_A_4,Ra_21_A_4_2,2,120,135,15,100,89,50,45,0,20,-19,52.38
2026-01-01 07:58:06,Ra_21_A_4,Ra_21_A_4_3,3,180,236,56,68,76,67,35,58,20,-10,52.38
2026-01-01 08:03:48,Ra_21_A_4,Ra_21_A_4_4,4,240,284,44,76,85,75,48,58,20,13,52.38
2026-01-01 08:10:03,Ra_21_A_4,Ra_21_A_4_5,5,300,317,17,81,95,60,46,58,0,-2,52.38
2026-01-01 08:20:47,Ra_21_A_4,Ra_21_A_4_6,6,360,470,110,52,77,67,27,174,20,-19,52.38
2026-01-01 08:32:06,Ra_21_A_4,Ra_21_A_4_7,7,420,505,85,59,83,71,35,174,60,8,52.38
2026-01-01 08:44:00,Ra_21_A_4,Ra_21_A_4_8,8,480,540,60,64,89,75,43,174,60,8,52.38
2026-01-01 08:56:29,Ra_21_A_4,Ra_21_A_4_9,9,540,575,35,68,94,78,50,174,60,7,52.38
2026-01-01 09:09:33,Ra_21_A_4,Ra_21_A_4_10,10,600,610,10,71,98,80,56,174,60,6,52.38
2026-01-01 09:23:24,Ra_21_A_4,Ra_21_A_4_11,11,660,657,3,74,100,82,61,174,60,5,52.38
2026-01-01 09:37:57,Ra_21_A_4,Ra_21_A_4_12,12,720,699,21,76,100,83,63,174,60,2,52.38
2026-01-01 09:53:18,Ra_21_A_4,Ra_21_A_4_13,13,780,747,33,78,100,85,66,174,20,3,52.38
2026-01-01 10:09:38,Ra_21_A_4,Ra_21_A_4_14,14,840,806,34,79,100,86,68,174,20,2,52.38
2026-01-01 10:27:36,Ra_21_A_4,Ra_21_A_4_15,15,900,904,4,81,100,80,65,174,20,-3,52.38
2026-01-01 10:46:19,Ra_21_A_4,Ra_21_A_4_16,16,960,949,11,82,100,81,66,174,0,1,52.38
2026-01-01 10:47:53,Ra_21_A_5,Ra_21_A_5_1,1,60,94,34,100,64,100,64,0,20,-2,75.75
2026-01-01 10:50:09,Ra_21_A_5,Ra_21_A_5_2,2,120,136,16,100,88,100,88,0,20,24,75.75
2026-01-01 10:54:28,Ra_21_A_5,Ra_21_A_5_3,3,180,259,79,100,69,100,69,0,20,-19,75.75
2026-01-01 10:59:22,Ra_21_A_5,Ra_21_A_5_4,4,240,294,54,100,82,100,82,0,20,13,75.75
2026-01-01 11:04:51,Ra_21_A_5,Ra_21_A_5_5,5,300,329,29,100,91,100,91,0,0,9,75.75
2026-01-01 11:13:04,Ra_21_A_5,Ra_21_A_5_6,6,360,438,78,85,82,100,70,55,20,-21,75.75
2026-01-01 11:24:50,Ra_21_A_5,Ra_21_A_5_7,7,480,651,171,89,74,100,66,55,20,-4,75.75
2026-01-01 11:37:39,Ra_21_A_5,Ra_21_A_5_8,8,600,714,174,90,84,100,76,55,100,10,75.75
2026-01-01 11:39:13,Ra_21_A_6,Ra_21_A_6_1,1,30,94,64,100,32,100,32,0,20,-44,30.5
2026-01-01 11:41:29,Ra_21_A_6,Ra_21_A_6_2,2,60,136,76,100,44,100,44,0,20,12,30.5
2026-01-01 11:46:51,Ra_21_A_6,Ra_21_A_6_3,3,90,250,160,20,36,100,7,72,20,-37,30.5
2026-01-01 11:53:03,Ra_21_A_6,Ra_21_A_6_4,4,120,300,180,40,40,100,16,72,60,9,30.5
2026-01-01 11:59:50,Ra_21_A_6,Ra_21_A_6_5,5,150,335,185,52,45,100,23,72,60,7,30.5
2026-01-01 12:07:12,Ra_21_A_6,Ra_21_A_6_6,6,180,370,190,60,49,100,29,72,60,6,30.5
2026-01-01 12:15:08,Ra_21_A_6,Ra_21_A_6_7,7,210,404,194,66,52,100,34,72,100,5,30.5
2026-01-01 12:23:39,Ra_21_A_6,Ra_21_A_6_8,8,240,439,229,66,55,100,36,72,100,2,30.5
2026-01-01 12:32:45,Ra_21_A_6,Ra_21_A_6_9,9,270,474,234,70,57,100,40,72,100,4,30.5
2026-01-01 12:42:32,Ra_21_A_6,Ra_21_A_6_10,10,300,515,215,76,58,100,44,72,100,4,30.5
