OP_Data_SLNo,Batch_PartNo,Part_SLNo,Part_No,Live_Planned_Production_Duration,Live_Production_Duration,Production_Delay,Avaliability,Performance,Quality,OEE,DownTime,Prod_Speed
1,WM-23-A-1,1,WM-23-A-1-1,0d 0h 0m 30s,0d 0h 1m 45s,0d 0h 1m 15s,100,29,100,29,0h 0m 0s,20
2,WM-23-A-1,2,WM-23-A-1-2,0d 0h 1m 0s,0d 0h 2m 16s,0d 0h 1m 16s,100,44,100,44,0h 0m 0s,60
3,WM-23-A-1,3,WM-23-A-1-3,0d 0h 1m 30s,0d 0h 4m 24s,0d 0h 2m 54s,64,34,100,22,0h 0m 32s,60
4,WM-23-A-1,4,WM-23-A-1-4,0d 0h 2m 0s,0d 0h 5m 0s,0d 0h 3m 0s,73,40,100,29,0h 0m 32s,60
5,WM-23-A-1,5,WM-23-A-1-5,0d 0h 2m 30s,0d 0h 5m 34s,0d 0h 3m 4s,79,45,100,36,0h 0m 32s,100
6,WM-23-A-1,6,WM-23-A-1-6,0d 0h 3m 0s,0d 0h 7m 11s,0d 0h 4m 11s,69,42,100,29,0h 0m 56s,60
7,WM-23-A-1,7,WM-23-A-1-7,0d 0h 3m 30s,0d 0h 7m 57s,0d 0h 4m 27s,73,44,100,32,0h 0m 56s,60
8,WM-23-A-1,8,WM-23-A-1-8,0d 0h 4m 0s,0d 0h 8m 33s,0d 0h 4m 33s,77,47,100,36,0h 0m 56s,60
9,WM-23-A-1,9,WM-23-A-1-9,0d 0h 4m 30s,0d 0h 9m 8s,0d 0h 4m 38s,79,49,100,39,0h 0m 56s,60
10,Ra_21_A_2,1,Ra_21_A_2_1,0d 0h 1m 0s,0d 0h 1m 55s,0d 0h 0m 55s,98,52,0,0,0h 0m 1s,60
11,Ra_21_A_2,2,Ra_21_A_2_2,0d 0h 2m 0s,0d 0h 2m 29s,0d 0h 0m 29s,99,81,50,40,0h 0m 1s,60
12,Ra_21_A_2,3,Ra_21_A_2_3,0d 0h 3m 0s,0d 0h 3m 2s,0d 0h 1m 2s,99,99,67,66,0h 0m 1s,100
13,Ra_21_A_2,4,Ra_21_A_2_4,0d 0h 4m 0s,0d 0h 3m 37s,0d 0h 0m 23s,100,100,75,75,0h 0m 1s,100
14,Ra_21_A_2,5,Ra_21_A_2_5,0d 0h 5m 0s,0d 0h 4m 12s,0d 0h 0m 48s,100,100,80,80,0h 0m 1s,100
15,Ra_21_A_3,1,Ra_21_A_3_1,0d 0h 1m 0s,0d 0h 1m 35s,0d 0h 0m 35s,100,63,100,63,0h 0m 0s,20
16,Ra_21_A_3,2,Ra_21_A_3_2,0d 0h 2m 0s,0d 0h 2m 16s,0d 0h 0m 16s,100,88,100,88,0h 0m 0s,20
17,Ra_21_A_3,3,Ra_21_A_3_3,0d 0h 3m 0s,0d 0h 3m 41s,0d 0h 0m 41s,76,81,100,62,0h 0m 43s,20
18,Ra_21_A_3,4,Ra_21_A_3_4,0d 0h 4m 0s,0d 0h 4m 31s,0d 0h 0m 31s,82,89,75,55,0h 0m 43s,20
19,Ra_21_A_3,5,Ra_21_A_3_5,0d 0h 5m 0s,0d 0h 5m 7s,0d 0h 0m 7s,86,98,80,67,0h 0m 43s,20
20,Ra_21_A_3,6,Ra_21_A_3_6,0d 0h 6m 0s,0d 0h 6m 44s,0d 0h 0m 44s,71,89,83,52,0h 1m 45s,20
21,Ra_21_A_3,7,Ra_21_A_3_7,0d 0h 7m 0s,0d 0h 7m 22s,0d 0h 0m 22s,75,95,71,51,0h 1m 45s,20
22,Ra_21_A_4,1,Ra_21_A_4_1,0d 0h 1m 0s,0d 0h 1m 34s,0d 0h 0m 34s,100,64,100,64,0h 0m 0s,20
23,Ra_21_A_4,2,Ra_21_A_4_2,0d 0h 2m 0s,0d 0h 2m 15s,0d 0h 0m 15s,100,89,50,45,0h 0m 0s,20
24,Ra_21_A_4,3,Ra_21_A_4_3,0d 0h 3m 0s,0d 0h 3m 56s,0d 0h 0m 56s,68,76,67,35,0h 0m 58s,20
25,Ra_21_A_4,4,Ra_21_A_4_4,0d 0h 4m 0s,0d 0h 4m 44s,0d 0h 0m 44s,76,85,75,48,0h 0m 58s,20
26,Ra_21_A_4,5,Ra_21_A_4_5,0d 0h 5m 0s,0d 0h 5m 17s,0d 0h 0m 17s,81,95,60,46,0h 0m 58s,0
27,Ra_21_A_4,6,Ra_21_A_4_6,0d 0h 6m 0s,0d 0h 7m 50s,0d 0h 1m 50s,52,77,67,27,0h 2m 54s,20
28,Ra_21_A_4,7,Ra_21_A_4_7,0d 0h 7m 0s,0d 0h 8m 25s,0d 0h 1m 25s,59,83,71,35,0h 2m 54s,60
29,Ra_21_A_4,8,Ra_21_A_4_8,0d 0h 8m 0s,0d 0h 9m 0s,0d 0h 1m 0s,64,89,75,43,0h 2m 54s,60
30,Ra_21_A_4,9,Ra_21_A_4_9,0d 0h 9m 0s,0d 0h 9m 35s,0d 0h 0m 35s,68,94,78,50,0h 2m 54s,60
31,Ra_21_A_4,10,Ra_21_A_4_10,0d 0h 10m 0s,0d 0h 10m 10s,0d 0h 0m 10s,71,98,80,56,0h 2m 54s,60
32,Ra_21_A_4,11,Ra_21_A_4_11,0d 0h 11m 0s,0d 0h 10m 57s,0d 0h 0m 3s,74,100,82,61,0h 2m 54s,60
33,Ra_21_A_4,12,Ra_21_A_4_12,0d 0h 12m 0s,0d 0h 11m 39s,0d 0h 0m 21s,76,100,83,63,0h 2m 54s,60
34,Ra_21_A_4,13,Ra_21_A_4_13,0d 0h 13m 0s,0d 0h 12m 27s,0d 0h 0m 33s,78,100,85,66,0h 2m 54s,20
35,Ra_21_A_4,14,Ra_21_A_4_14,0d 0h 14m 0s,0d 0h 13m 26s,0d 0h 0m 34s,79,100,86,68,0h 2m 54s,20
36,Ra_21_A_4,15,Ra_21_A_4_15,0d 0h 15m 0s,0d 0h 15m 4s,0d 0h 0m 4s,81,100,80,65,0h 2m 54s,20
37,Ra_21_A_4,16,Ra_21_A_4_16,0d 0h 16m 0s,0d 0h 15m 49s,0d 0h 0m 11s,82,100,81,66,0h 2m 54s,0
38,Ra_21_A_5,1,Ra_21_A_5_1,0d 0h 1m 0s,0d 0h 1m 34s,0d 0h 0m 34s,100,64,100,64,0h 0m 0s,20
39,Ra_21_A_5,2,Ra_21_A_5_2,0d 0h 2m 0s,0d 0h 2m 16s,0d 0h 0m 16s,100,88,100,88,0h 0m 0s,20
40,Ra_21_A_5,3,Ra_21_A_5_3,0d 0h 3m 0s,0d 0h 4m 19s,0d 0h 1m 19s,100,69,100,69,0h 0m 0s,20
41,Ra_21_A_5,4,Ra_21_A_5_4,0d 0h 4m 0s,0d 0h 4m 54s,0d 0h 0m 54s,100,82,100,82,0h 0m 0s,20
42,Ra_21_A_5,5,Ra_21_A_5_5,0d 0h 5m 0s,0d 0h 5m 29s,0d 0h 0m 29s,100,91,100,91,0h 0m 0s,0
43,Ra_21_A_5,6,Ra_21_A_5_6,0d 0h 6m 0s,0d 0h 7m 18s,0d 0h 1m 18s,85,82,100,70,0h 0m 55s,20
44,Ra_21_A_5,7,Ra_21_A_5_7,0d 0h 8m 0s,0d 0h 10m 51s,0d 0h 2m 51s,89,74,100,66,0h 0m 55s,20
45,Ra_21_A_5,8,Ra_21_A_5_8,0d 0h 10m 0s,0d 0h 11m 54s,0d 0h 2m 54s,90,84,100,76,0h 0m 55s,100
46,Ra_21_A_6,1,Ra_21_A_6_1,0d 0h 0m 30s,0d 0h 1m 34s,0d 0h 1m 4s,100,32,100,32,0h 0m 0s,20
