Production_End_Time,Batch_PartNo,Part_No,Part_SLNo,Availability,Performance,Quality,Current_OEE,Current_Speed_pct,Prev_Speed_pct,Speed_Delta,DownTime_sec,OEE_Delta,_pos_ratio,Planned_Prod_Duration,Production_Duration,Production_Delay_sec,Predicted_OEE_t1,Recommended_Speed,OEE_lag1,OEE_roll5_mean,OEE_trend3,OEE_min5,OEE_max5,OEE_range5
2026-01-04 19:01:04,TOP_b1,TOP_b1_1,1,100,63,100,63,10,10,0,0,0,0.0,60,9,0,61,80,63,63.0,0.0,63,63,0
2026-01-04 19:02:22,TOP_b1,TOP_b1_2,2,100,61,100,61,10,10,0,0,-2,0.2,120,18,0,60,80,63,62.0,0.0,61,63,2
2026-01-04 19:03:24,TOP_b1,TOP_b1_3,3,100,60,100,60,10,10,0,0,-1,0.4,180,27,0,58,80,61,61.3,-3.0,60,63,3
2026-01-04 19:04:41,TOP_b1,TOP_b1_4,4,100,58,100,58,10,10,0,0,-2,0.6,240,36,0,56,80,60,60.5,-5.0,58,63,5
2026-01-04 19:05:48,TOP_b1,TOP_b1_5,5,100,56,100,56,10,10,0,0,-2,0.8,300,45,0,55,80,58,59.6,-7.0,56,63,7
2026-01-04 19:07:13,TOP_b1,TOP_b1_6,6,100,55,100,55,10,10,0,0,-1,1.0,360,54,0,55,80,56,58.0,-6.0,55,61,6
2026-01-04 19:08:43,LOW_b2,LOW_b2_1,1,33,61,26,5,70,70,0,0,0,0.0,60,65,5,5,60,5,5.0,0.0,5,5,0
2026-01-04 19:09:45,LOW_b2,LOW_b2_2,2,32,60,26,5,70,70,0,0,0,0.1667,120,130,10,5,60,5,5.0,0.0,5,5,0
2026-01-04 19:10:53,LOW_b2,LOW_b2_3,3,32,58,25,5,60,70,-10,0,0,0.3333,180,186,6,6,40,5,5.0,0.0,5,5,0
2026-01-04 19:12:10,LOW_b2,LOW_b2_4,4,35,48,33,6,60,60,0,0,1,0.5,240,242,2,5,60,5,5.2,1.0,5,6,1
2026-01-04 19:13:12,LOW_b2,LOW_b2_5,5,35,47,32,5,60,60,0,0,-1,0.6667,300,298,0,5,60,6,5.2,0.0,5,6,1
2026-01-04 19:14:40,LOW_b2,LOW_b2_6,6,34,45,32,5,60,60,0,0,0,0.8333,360,354,0,5,80,5,5.2,0.0,5,6,1
2026-01-04 19:15:46,LOW_b2,LOW_b2_7,7,34,43,31,5,60,60,0,0,0,1.0,420,410,0,5,80,5,5.2,0.0,5,6,1
2026-01-04 19:16:48,TOP_b3,TOP_b3_1,1,100,63,100,63,10,10,0,0,0,0.0,60,9,0,61,80,63,63.0,0.0,63,63,0
2026-01-04 19:18:00,TOP_b3,TOP_b3_2,2,100,61,100,61,10,10,0,0,-2,0.2,120,18,0,60,80,63,62.0,0.0,61,63,2
2026-01-04 19:19:05,TOP_b3,TOP_b3_3,3,100,60,100,60,10,10,0,0,-1,0.4,180,27,0,58,80,61,61.3,-3.0,60,63,3
2026-01-04 19:20:26,TOP_b3,TOP_b3_4,4,100,58,100,58,10,10,0,0,-2,0.6,240,36,0,57,80,60,60.5,-5.0,58,63,5
2026-01-04 19:21:45,TOP_b3,TOP_b3_5,5,100,57,100,57,10,10,0,0,-1,0.8,300,45,0,55,80,58,59.8,-6.0,57,63,6
2026-01-04 19:22:50,TOP_b3,TOP_b3_6,6,100,55,100,55,10,10,0,0,-2,1.0,360,54,0,55,80,57,58.2,-6.0,55,61,6
2026-01-04 19:24:11,MED_HIGH_b4,MED_HIGH_b4_1,1,94,72,100,67,50,50,0,0,0,0.0,60,46,0,66,60,67,67.0,0.0,67,67,0
2026-01-04 19:25:18,MED_HIGH_b4,MED_HIGH_b4_2,2,93,71,100,66,50,50,0,0,-1,0.1,120,92,0,65,60,67,66.5,0.0,66,67,1
2026-01-04 19:26:30,MED_HIGH_b4,MED_HIGH_b4_3,3,93,70,100,65,50,50,0,0,-1,0.2,180,138,0,64,60,66,66.0,-2.0,65,67,2
2026-01-04 19:27:40,MED_HIGH_b4,MED_HIGH_b4_4,4,93,69,100,64,40,50,-10,0,-1,0.3,240,175,0,58,80,65,65.5,-3.0,64,67,3
2026-01-04 19:28:52,MED_HIGH_b4,MED_HIGH_b4_5,5,95,62,100,58,40,40,0,0,-6,0.4,300,212,0,4,60,64,64.0,-9.0,58,67,9
2026-01-04 19:30:06,MED_HIGH_b4,MED_HIGH_b4_6,6,31,34,46,4,40,40,0,205,-54,0.5,360,454,94,2,20,58,51.4,-62.0,4,66,62
2026-01-04 19:31:13,MED_HIGH_b4,MED_HIGH_b4_7,7,34,20,36,2,40,40,0,124,-2,0.6,420,615,195,0,20,4,38.6,-63.0,2,65,63
2026-01-04 19:32:31,MED_HIGH_b4,MED_HIGH_b4_8,8,21,9,32,0,90,40,50,141,-2,0.7,480,840,360,56,20,2,25.6,-64.0,0,64,64
2026-01-04 19:33:42,MED_HIGH_b4,MED_HIGH_b4_9,9,90,65,96,56,90,90,0,0,56,0.8,540,924,384,54,80,0,24.0,-2.0,0,58,58
2026-01-04 19:34:58,MED_HIGH_b4,MED_HIGH_b4_10,10,86,71,89,54,90,90,0,0,-2,0.9,600,1008,408,52,80,56,23.2,50.0,0,56,56
2026-01-04 19:36:25,MED_HIGH_b4,MED_HIGH_b4_11,11,83,75,85,52,90,90,0,0,-2,1.0,660,1092,432,52,80,54,32.8,50.0,0,56,56
2026-01-04 19:37:37,LOW_b5,LOW_b5_1,1,62,48,65,19,30,30,0,0,-33,0.0,60,28,0,6,40,19,19.0,0.0,19,19,0
2026-01-04 19:38:53,LOW_b5,LOW_b5_2,2,42,30,47,6,30,30,0,0,-13,0.1667,120,56,0,5,60,19,12.5,0.0,6,19,13
2026-01-04 19:40:20,LOW_b5,LOW_b5_3,3,42,28,46,5,30,30,0,0,-1,0.3333,180,84,0,2,40,6,10.0,-14.0,5,19,14
2026-01-04 19:41:28,LOW_b5,LOW_b5_4,4,21,19,40,2,20,30,-10,167,-3,0.5,240,269,29,1,80,5,8.0,-17.0,2,19,17
2026-01-04 19:42:37,LOW_b5,LOW_b5_5,5,21,13,40,1,20,20,0,117,-1,0.6667,300,404,104,1,40,2,6.6,-18.0,1,19,18
2026-01-04 19:44:07,LOW_b5,LOW_b5_6,6,21,11,40,1,20,20,0,146,0,0.8333,360,568,208,1,40,1,3.0,-5.0,1,6,5
2026-01-04 19:45:31,LOW_b5,LOW_b5_7,7,20,10,40,1,20,20,0,97,0,1.0,420,683,263,1,100,1,2.0,-4.0,1,5,4
2026-01-04 19:46:35,MED_LOW_b6,MED_LOW_b6_1,1,55,51,57,16,50,50,0,0,0,0.0,60,46,0,15,60,16,16.0,0.0,16,16,0
2026-01-04 19:47:52,MED_LOW_b6,MED_LOW_b6_2,2,54,50,55,15,50,50,0,0,-1,0.2,120,92,0,7,60,16,15.5,0.0,15,16,1
2026-01-04 19:49:11,MED_LOW_b6,MED_LOW_b6_3,3,33,40,50,7,50,50,0,165,-8,0.4,180,303,123,6,60,15,12.7,-9.0,7,16,9
2026-01-04 19:50:40,MED_LOW_b6,MED_LOW_b6_4,4,33,39,50,6,50,50,0,34,-1,0.6,240,383,143,6,40,7,11.0,-10.0,6,16,10
2026-01-04 19:51:41,MED_LOW_b6,MED_LOW_b6_5,5,31,37,49,6,50,50,0,108,0,0.8,300,537,237,10,60,6,10.0,-10.0,6,16,10
2026-01-04 19:53:11,MED_LOW_b6,MED_LOW_b6_6,6,43,59,39,10,50,50,0,0,4,1.0,360,583,223,10,60,6,8.8,-5.0,6,15,9
2026-01-04 19:54:15,LOW_b7,LOW_b7_1,1,0,51,6,0,80,80,0,392,0,0.0,60,467,407,0,40,0,0.0,0.0,0,0,0
2026-01-04 19:55:42,LOW_b7,LOW_b7_2,2,0,49,6,0,90,80,10,255,0,0.2,120,806,686,0,100,0,0.0,0.0,0,0,0
2026-01-04 19:57:06,LOW_b7,LOW_b7_3,3,0,48,4,0,90,90,0,228,0,0.4,180,1118,938,0,100,0,0.0,0.0,0,0,0
2026-01-04 19:58:18,LOW_b7,LOW_b7_4,4,0,46,5,0,90,90,0,222,0,0.6,240,1424,1184,3,60,0,0.0,0.0,0,0,0
2026-01-04 19:59:29,LOW_b7,LOW_b7_5,5,22,69,20,3,90,90,0,0,3,0.8,300,1508,1208,1,80,0,0.6,3.0,0,3,3
