OP_Data_SLNo,Batch_PartNo,Part_SLNo,Part_No,Live_Planned_Production_Duration,Live_Production_Duration,Production_Delay,OP_Job_Start_Date_Time,Job_Finish_Date_Time,Avaliability,Performance,Quality,OEE,DownTime,Prod_Speed
1,WM-23-A-X,1,WM-23-A-1,0d 0h 0m 30s,0d 0h 1m 45s,0d 0h 1m 15s,02/07/2026 13:05:49,02/07/2026 13:08:45,100,29,100,29,0h 0m 0s,20
2,WM-23-A-X,2,WM-23-A-2,0d 0h 1m 0s,0d 0h 2m 16s,0d 0h 1m 16s,02/07/2026 13:05:49,02/07/2026 13:09:16,100,44,100,44,0h 0m 0s,60
3,WM-23-A-X,3,WM-23-A-3,0d 0h 1m 30s,0d 0h 4m 24s,0d 0h 2m 54s,02/07/2026 13:05:49,02/07/2026 13:11:24,64,34,100,22,0h 0m 32s,60
4,WM-23-A-X,4,WM-23-A-4,0d 0h 2m 0s,0d 0h 5m 0s,0d 0h 3m 0s,02/07/2026 13:05:49,02/07/2026 13:12:00,73,40,100,29,0h 0m 32s,60
5,WM-23-A-X,5,WM-23-A-5,0d 0h 2m 30s,0d 0h 5m 34s,0d 0h 3m 4s,02/07/2026 13:05:49,02/07/2026 13:12:34,79,45,100,36,0h 0m 32s,100
6,WM-23-A-X,6,WM-23-A-6,0d 0h 3m 0s,0d 0h 7m 11s,0d 0h 4m 11s,02/07/2026 13:05:49,02/07/2026 13:14:11,69,42,100,29,0h 0m 56s,60
7,WM-23-A-X,7,WM-23-A-7,0d 0h 3m 30s,0d 0h 7m 57s,0d 0h 4m 27s,02/07/2026 13:05:49,02/07/2026 13:14:57,73,44,100,32,0h 0m 56s,60
8,WM-23-A-X,8,WM-23-A-8,0d 0h 4m 0s,0d 0h 8m 33s,0d 0h 4m 33s,02/07/2026 13:05:49,02/07/2026 13:15:33,77,47,100,36,0h 0m 56s,60
9,WM-23-A-X,9,WM-23-A-9,0d 0h 4m 30s,0d 0h 9m 8s,0d 0h 4m 38s,02/07/2026 13:05:49,02/07/2026 13:16:08,79,49,100,39,0h 0m 56s,60
10,Ra_21_A_X,1,Ra_21_A_1,0d 0h 1m 0s,0d 0h 1m 55s,0d 0h 0m 55s,02/07/2026 14:57:40,02/07/2026 15:07:55,98,52,0,0,0h 0m 1s,60
11,Ra_21_A_X,2,Ra_21_A_2,0d 0h 2m 0s,0d 0h 2m 29s,0d 0h 0m 29s,02/07/2026 14:57:40,02/07/2026 15:08:29,99,81,50,40,0h 0m 1s,60
12,Ra_21_A_X,3,Ra_21_A_3,0d 0h 3m 0s,0d 0h 3m 2s,0d 0h 1m 2s,02/07/2026 14:57:40,02/07/2026 15:09:02,99,99,67,66,0h 0m 1s,100
13,Ra_21_A_X,4,Ra_21_A_4,0d 0h 4m 0s,0d 0h 3m 37s,0d 0h 0m 23s,02/07/2026 14:57:40,02/07/2026 15:09:37,100,100,75,75,0h 0m 1s,100
14,Ra_21_A_X,5,Ra_21_A_5,0d 0h 5m 0s,0d 0h 4m 12s,0d 0h 0m 48s,02/07/2026 14:57:40,02/07/2026 15:10:12,100,100,80,80,0h 0m 1s,100
15,Ra_21_A_X,1,Ra_21_A_1,0d 0h 1m 0s,0d 0h 1m 35s,0d 0h 0m 35s,02/07/2026 15:24:45,02/07/2026 15:27:35,100,63,100,63,0h 0m 0s,20
16,Ra_21_A_X,2,Ra_21_A_2,0d 0h 2m 0s,0d 0h 2m 16s,0d 0h 0m 16s,02/07/2026 15:24:45,02/07/2026 15:28:16,100,88,100,88,0h 0m 0s,20
17,Ra_21_A_X,3,Ra_21_A_3,0d 0h 3m 0s,0d 0h 3m 41s,0d 0h 0m 41s,02/07/2026 15:24:45,02/07/2026 15:29:41,76,81,100,62,0h 0m 43s,20
18,Ra_21_A_X,4,Ra_21_A_4,0d 0h 4m 0s,0d 0h 4m 31s,0d 0h 0m 31s,02/07/2026 15:24:45,02/07/2026 15:30:31,82,89,75,55,0h 0m 43s,20
19,Ra_21_A_X,5,Ra_21_A_5,0d 0h 5m 0s,0d 0h 5m 7s,0d 0h 0m 7s,02/07/2026 15:24:45,02/07/2026 15:31:07,86,98,80,67,0h 0m 43s,20
20,Ra_21_A_X,6,Ra_21_A_6,0d 0h 6m 0s,0d 0h 6m 44s,0d 0h 0m 44s,02/07/2026 15:24:45,02/07/2026 15:32:44,71,89,83,52,0h 1m 45s,20
21,Ra_21_A_X,7,Ra_21_A_7,0d 0h 7m 0s,0d 0h 7m 22s,0d 0h 0m 22s,02/07/2026 15:24:45,02/07/2026 15:33:22,75,95,71,51,0h 1m 45s,20
22,Ra_21_A_X,1,Ra_21_A_1,0d 0h 1m 0s,0d 0h 1m 34s,0d 0h 0m 34s,02/07/2026 15:24:45,02/07/2026 15:40:34,100,64,100,64,0h 0m 0s,20
23,Ra_21_A_X,2,Ra_21_A_2,0d 0h 2m 0s,0d 0h 2m 15s,0d 0h 0m 15s,02/07/2026 15:24:45,02/07/2026 15:41:15,100,89,50,45,0h 0m 0s,20
24,Ra_21_A_X,3,Ra_21_A_3,0d 0h 3m 0s,0d 0h 3m 56s,0d 0h 0m 56s,02/07/2026 15:24:45,02/07/2026 15:42:56,68,76,67,35,0h 0m 58s,20
25,Ra_21_A_X,4,Ra_21_A_4,0d 0h 4m 0s,0d 0h 4m 44s,0d 0h 0m 44s,02/07/2026 15:24:45,02/07/2026 15:43:44,76,85,75,48,0h 0m 58s,20
26,Ra_21_A_X,5,Ra_21_A_5,0d 0h 5m 0s,0d 0h 5m 17s,0d 0h 0m 17s,02/07/2026 15:24:45,02/07/2026 15:44:17,81,95,60,46,0h 0m 58s,0
27,Ra_21_A_X,6,Ra_21_A_6,0d 0h 6m 0s,0d 0h 7m 50s,0d 0h 1m 50s,02/07/2026 15:24:45,02/07/2026 15:46:50,52,77,67,27,0h 2m 54s,20
28,Ra_21_A_X,7,Ra_21_A_7,0d 0h 7m 0s,0d 0h 8m 25s,0d 0h 1m 25s,02/07/2026 15:24:45,02/07/2026 15:47:25,59,83,71,35,0h 2m 54s,60
29,Ra_21_A_X,8,Ra_21_A_8,0d 0h 8m 0s,0d 0h 9m 0s,0d 0h 1m 0s,02/07/2026 15:24:45,02/07/2026 15:48:00,64,89,75,43,0h 2m 54s,60
30,Ra_21_A_X,9,Ra_21_A_9,0d 0h 9m 0s,0d 0h 9m 35s,0d 0h 0m 35s,02/07/2026 15:24:45,02/07/2026 15:48:35,68,94,78,50,0h 2m 54s,60
