availability,performance,quality,speed,downtime_minutes,shutdown_minutes,machine_issue,trend,current_oee,future_oee,income,loss
97.97,74.25,82.65,17,3,0,0,1,60.12,64.85,3891,2109
92.57,85.33,97.3,10,7,4,0,1,76.86,82.35,4940,1060
81.96,67.37,80.41,17,17,2,0,-1,44.4,39.48,2368,3632
97.24,32.38,100.0,7,0,2,0,-1,31.48,28.38,1702,4298
80.18,93.02,91.27,15,19,0,0,0,68.08,68.45,4107,1893
77.7,92.22,92.1,15,6,22,0,1,65.99,72.44,4346,1654
83.33,90.36,93.31,15,13,7,0,0,70.26,68.3,4098,1902
77.51,98.54,97.83,14,18,8,0,-1,74.72,69.18,4150,1850
78.91,37.31,98.52,7,5,22,0,0,29.01,27.24,1634,4366
83.38,100.0,99.55,13,10,8,0,1,83.01,86.56,5193,807
94.34,97.58,98.5,12,3,2,0,-1,90.68,88.13,5287,713
74.04,95.81,99.22,12,11,19,0,-1,70.38,68.68,4120,1880
74.64,33.91,98.54,7,14,17,0,0,24.94,26.48,1588,4412
82.67,56.64,98.13,8,12,2,0,0,45.95,45.65,2739,3261
72.47,93.51,95.22,15,9,26,0,0,64.53,64.01,3840,2160
60.19,70.2,84.37,17,19,28,0,-1,35.65,30.53,1831,4169
78.75,85.74,86.95,16,6,22,0,-1,58.7,56.1,3365,2635
76.64,71.72,83.01,17,7,24,0,0,45.63,45.4,2723,3277
78.59,91.2,97.76,11,2,27,0,-1,70.06,67.53,4051,1949
82.79,54.85,95.12,8,12,8,0,0,43.19,43.17,2590,3410
61.89,100.0,97.71,14,20,26,0,-1,60.47,57.32,3438,2562
86.51,99.7,99.19,12,11,6,0,0,85.56,84.65,5078,922
77.48,75.58,81.51,17,8,22,0,0,47.73,47.17,2830,3170
76.27,71.34,81.41,17,20,2,0,0,44.29,44.77,2686,3314
75.33,83.16,89.22,16,20,5,0,0,55.89,54.65,3279,2721
87.09,93.17,93.39,15,7,5,0,0,75.78,76.56,4593,1407
83.18,98.79,98.38,14,12,8,0,0,80.84,81.19,4871,1129
78.54,69.77,85.8,17,17,7,0,-1,47.02,42.75,2565,3435
73.34,36.77,99.74,7,7,26,0,-1,26.9,23.95,1436,4564
83.63,100.0,97.63,12,12,8,0,1,81.65,83.16,4989,1011
85.68,84.48,88.42,16,10,6,0,-1,64.0,60.21,3612,2388
69.8,100.0,98.94,13,20,14,0,0,69.06,68.2,4092,1908
87.59,72.16,97.66,9,8,4,0,-1,61.74,59.46,3567,2433
78.11,92.65,91.73,15,17,8,0,1,66.39,69.86,4191,1809
73.92,97.51,98.26,13,18,12,0,0,70.83,71.21,4272,1728
90.29,95.91,98.54,12,7,4,0,-1,85.33,81.85,4911,1089
78.03,53.12,98.77,8,1,27,0,0,40.95,41.46,2487,3513
82.77,62.71,98.86,8,4,20,0,1,51.31,55.08,3305,2695
73.23,72.72,81.84,17,13,19,0,1,43.58,45.6,2735,3265
74.67,96.27,99.03,13,19,14,0,-1,71.19,65.46,3927,2073
84.59,94.98,93.1,15,0,21,0,-1,74.8,68.84,4130,1870
65.1,71.63,83.07,17,17,24,0,-1,38.74,35.02,2101,3899
84.86,71.57,82.01,17,10,3,0,0,49.81,50.66,3039,2961
84.26,94.53,96.2,11,13,5,0,-1,76.62,72.47,4348,1652
83.45,55.81,76.11,18,8,16,0,0,35.45,36.36,2181,3819
57.69,66.53,96.77,9,16,29,1,0,37.14,36.43,2185,3815
73.34,58.74,97.97,8,20,9,0,-1,42.21,35.91,2154,3846
73.81,90.2,95.31,15,19,6,0,-1,63.45,62.17,3730,2270
62.09,75.9,98.61,9,17,30,0,0,46.47,47.38,2842,3158
86.4,92.92,93.97,15,0,19,0,-1,75.44,72.27,4336,1664
75.78,39.42,99.03,7,3,29,0,0,29.58,29.65,1779,4221
85.37,98.62,99.33,12,9,7,0,1,83.62,85.39,5123,877
95.67,83.09,89.43,16,2,2,0,1,71.08,77.47,4647,1353
65.26,56.75,98.83,8,17,24,0,0,36.6,35.89,2153,3847
78.62,68.76,97.0,9,4,21,0,1,52.43,57.5,3449,2551
91.73,91.92,92.39,15,5,8,0,1,77.9,82.27,4936,1064
65.22,85.7,87.64,16,13,30,0,0,48.98,49.84,2990,3010
65.79,82.57,100.0,10,17,24,0,1,54.33,60.31,3618,2382
84.41,81.41,99.16,10,9,12,0,0,68.13,68.8,4128,1872
71.25,71.18,79.86,17,20,11,0,-1,40.51,38.52,2311,3689
84.82,95.52,92.35,15,14,3,0,0,74.82,75.02,4501,1499
93.33,82.85,97.0,10,7,2,0,0,75.0,76.36,4581,1419
84.34,100.0,97.55,12,0,18,0,1,82.28,86.49,5189,811
94.91,85.34,88.74,16,7,0,0,-1,71.87,69.68,4180,1820
93.59,72.12,83.1,17,1,7,0,0,56.09,57.07,3424,2576
70.58,45.7,88.7,8,1,27,1,-1,28.61,27.15,1629,4371
90.68,91.18,91.74,15,7,8,0,1,75.86,79.94,4796,1204
79.06,84.1,98.51,10,17,4,0,0,65.5,67.38,4042,1958
68.05,55.98,76.02,18,18,18,0,1,28.96,34.68,2081,3919
84.57,97.26,95.43,14,13,6,0,1,78.49,82.23,4933,1067
69.98,66.76,73.09,17,13,11,1,1,34.15,37.89,2273,3727
83.83,95.0,95.95,14,1,21,0,1,76.41,81.56,4893,1107
95.06,70.59,83.36,17,3,1,0,0,55.94,57.99,3479,2521
72.75,100.0,99.54,13,10,25,0,0,72.42,72.59,4355,1645
91.03,56.76,97.35,8,7,6,0,-1,50.3,47.19,2831,3169
84.3,100.0,99.33,14,4,13,0,0,83.74,83.6,5016,984
81.47,73.87,99.47,9,8,14,0,0,59.86,60.19,3611,2389
88.18,85.39,97.58,10,2,14,0,-1,73.47,66.58,3994,2006
90.58,84.39,85.24,15,3,1,1,0,65.15,65.64,3938,2062
63.32,72.21,82.2,17,17,26,0,0,37.59,36.79,2207,3793
77.54,33.13,97.17,7,2,29,0,-1,24.96,18.75,1124,4876
