timestamp,rpm,availability,performance,quality,current_oee,downtime_minutes,target_oee_30m,target_oee_1h,target_oee_2h,target_oee_6h,target_oee_8h
2026-01-01 00:00:00,0.0,88.0,82.0,86.0,62.06,0.0,60.49,65.28,66.63,66.45,66.37
2026-01-01 00:01:00,300.0,87.67,82.09,86.07,61.94,0.0,60.87,66.49,66.52,66.1,66.61
2026-01-01 00:02:00,301.2,87.97,81.95,86.21,62.14,0.0,60.85,66.22,66.13,66.6,66.38
2026-01-01 00:03:00,300.0,87.8,81.67,85.55,61.34,0.0,61.4,65.57,65.63,66.38,66.51
2026-01-01 00:04:00,300.0,88.08,81.36,85.63,61.37,0.0,61.17,65.69,66.34,66.81,66.98
2026-01-01 00:05:00,300.0,87.87,80.71,85.47,60.62,0.0,61.2,66.26,65.93,66.65,67.04
2026-01-01 00:06:00,300.1,88.05,80.55,85.5,60.64,0.0,60.97,66.15,65.37,66.56,67.05
2026-01-01 00:07:00,300.7,87.87,80.83,85.58,60.78,0.0,61.77,66.53,65.82,66.21,66.12
2026-01-01 00:08:00,300.4,87.68,80.83,85.31,60.46,0.0,61.92,66.02,65.81,66.51,66.83
2026-01-01 00:09:00,300.0,87.61,80.94,85.0,60.28,0.0,62.11,66.64,66.0,67.38,66.29
2026-01-01 00:10:00,300.1,87.94,80.54,85.05,60.24,0.0,62.31,66.8,66.42,67.26,66.75
2026-01-01 00:11:00,302.9,88.01,80.8,84.8,60.3,0.0,62.26,66.88,66.38,66.48,66.74
2026-01-01 00:12:00,301.6,87.53,80.67,85.07,60.06,0.0,62.46,67.04,66.07,65.93,66.06
2026-01-01 00:13:00,300.3,87.19,80.7,85.21,59.96,0.0,62.99,67.28,65.27,65.88,66.36
2026-01-01 00:14:00,301.6,87.46,80.45,85.14,59.91,0.0,62.99,67.18,65.18,65.95,66.22
2026-01-01 00:15:00,303.8,87.01,80.78,85.1,59.81,0.0,63.34,67.14,65.15,66.35,65.54
2026-01-01 00:16:00,302.8,86.89,81.02,85.44,60.15,0.0,63.88,67.32,65.19,66.3,65.55
2026-01-01 00:17:00,305.1,86.58,81.0,85.68,60.09,0.0,63.9,67.48,65.1,66.4,64.94
2026-01-01 00:18:00,305.4,86.82,80.99,86.07,60.52,0.0,63.94,67.33,64.51,66.81,65.27
2026-01-01 00:19:00,305.6,86.71,80.97,85.72,60.17,0.0,64.0,67.74,64.14,67.19,65.31
2026-01-01 00:20:00,305.6,87.02,80.9,85.81,60.41,0.0,64.22,67.94,64.05,67.45,64.97
2026-01-01 00:21:00,305.1,86.79,81.12,85.75,60.37,0.0,64.5,68.02,64.3,67.35,65.26
2026-01-01 00:22:00,303.1,86.66,81.39,85.84,60.54,0.0,64.68,68.01,63.74,67.12,65.14
2026-01-01 00:23:00,304.9,87.07,81.44,85.76,60.82,0.0,64.93,67.72,63.89,66.99,65.76
2026-01-01 00:24:00,302.5,87.28,81.32,85.39,60.61,0.0,65.44,67.7,64.22,67.46,65.89
2026-01-01 00:25:00,304.5,86.48,81.42,85.3,60.06,0.0,65.91,67.12,64.17,66.77,65.63
2026-01-01 00:26:00,303.5,86.4,81.37,85.4,60.04,0.0,66.25,67.25,64.53,66.89,66.03
2026-01-01 00:27:00,303.6,86.12,81.79,85.4,60.15,0.0,65.66,67.61,64.64,67.16,66.04
2026-01-01 00:28:00,302.4,85.62,81.8,86.01,60.25,0.0,65.66,67.58,64.47,66.87,66.0
2026-01-01 00:29:00,300.0,85.77,81.72,85.87,60.19,0.0,65.41,67.58,64.77,67.13,65.58
2026-01-01 00:30:00,300.0,85.65,82.06,86.06,60.49,0.0,65.28,68.24,64.65,67.8,65.48
2026-01-01 00:31:00,300.0,85.41,82.47,86.41,60.87,0.0,66.49,68.02,65.23,68.26,65.74
2026-01-01 00:32:00,300.2,85.83,82.17,86.27,60.85,0.0,66.22,67.91,64.97,68.25,66.01
2026-01-01 00:33:00,300.0,86.35,82.43,86.27,61.4,0.0,65.57,67.74,65.32,68.52,66.2
2026-01-01 00:34:00,300.0,86.24,82.11,86.39,61.17,0.0,65.69,67.59,65.24,68.36,66.61
2026-01-01 00:35:00,301.1,86.43,82.05,86.29,61.2,0.0,66.26,68.14,65.19,68.21,67.18
2026-01-01 00:36:00,300.0,86.17,82.29,85.98,60.97,0.0,66.15,68.58,65.85,68.0,66.94
2026-01-01 00:37:00,301.9,86.58,83.05,85.9,61.77,0.0,66.53,68.48,65.52,68.19,66.46
2026-01-01 00:38:00,304.3,86.53,83.12,86.09,61.92,0.0,66.02,68.04,65.83,68.84,66.91
2026-01-01 00:39:00,303.3,86.92,82.86,86.25,62.11,0.0,66.64,67.79,66.44,68.12,66.99
